cleaned_tweet,tweet,labels
f k I never wear headband either hoop like lil bitch tho,&#8220;@TyLawson3: F**k it!!!!! I'm never wearing my headband again either!!!!!!&#8221; but you don't hoop like a lil bitch tho...,1
hoe,&#8220;@Tyga: That ain't my hoe.&#8221;,1
thi singl shit bore bitch,&#8220;@Tylar____: This single shit so boring &#128555;&#128530;&#8221;suck it bitch,1
trenton gosman sexi hillbilli I ever see,&#8220;@UCCrushes: Trenton Gossman is the sexiest hillbilly I have ever seen&#8221; &#128129;&#128514;&#128514;&#128514;,1
colt mcoy win still trash,"&#8220;@UTRagers: COLT MCCOY WINS&#8252;&#65039;
#HookEm&#128002;&#8221; he's still trash",2
cri guy thanksgiv nah bitch pick head make turkey soggi thank ashani pat turkey dri,"&#8220;@UcfGawd: Crying over a guy on Thanksgiving? Nah bitch pick your head up, you making the turkey soggy.&#8221; Thanks A'Shanni *pats turkey dry*",1
good pussi make nigga regroup pull get thought togeth,&#8220;@UnLike_Society: Good pussy be making a nigga have to regroup&#8221; pull out and get your thoughts together&#128514;&#128514;,1
I eat omf pussi,&#8220;@UnbearableTier_: I ate oomf pussy&#8221; @ her &#128064;&#128064;&#128064;&#128514;&#128514;,1
ion care none bitch,&#8220;@Untouchable_T: Ion care about none of these bitches&#8221;&#128175;&#128175;&#128175;,1
never see mani perfect bitch til I make twitter,&#8220;@Untouchable_T: Never seen so many perfect bitches til I made a Twitter &#128564; but &#128056;&#9749;&#65039;&#8221;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;,1
I boss ass bitch bitch bitch bitch bitch bitch bitch,&#8220;@VINNYGUADAGNINO: I'm a boss ass bitch ..bitch..bitch..bitch..bitch..bitch..bitch..&#8221; @sarahninjaginga,1
agre eat pussi much well nasti,"&#8220;@Vabtwin8211: @Vivalaquintaa agreed, eating pussy is so much better&#8221;they both Nasty",1
fuck dat bitch crush,"&#8220;@VishalDaGod: fuck a #WCW dats my bitch , not my crush&#8221;",1
I want bitch big booti bitch,"&#8220;@WEEEDITH: All I want is bitches, big boooty bitches&#8221;",1
thi trash,"&#8220;@WORSTRAPLYRlCS: http://t.co/hE19TIfqFX&#8221;

How is this trash...",2
I like ghetto femal,&#8220;@WavyGodd: I don't like a ghetto female&#8221;&#128567;&#128078;,1
jenif hudson lose weight anybodi fat ass hoe,&#8220;@Weakass_Drex: If Jennifer Hudson can lose weight anybody can you fat ass hoes!!!&#8221;&#128514;&#128514;&#128514;&#128514;,1
stop give nigga pussi stop actin like care true total,&#8220;@WeirdLilThingz: Stop giving a nigga pussy he stop actin like he care&#8221; no true totally ...,1
I wan na go workout come back home lie bed jerk kill two bird one stone,"&#8220;@Whale__Tail: All I wanna do is go workout then come back home and lay in bed&#8221; jerk off, kill two birds with one stone.",1
orangutan onc tri sex actress julia robert monkey,&#8220;@WhatTheFFacts: An orangutan once tried to have sex with actress Julia Roberts.&#8221;Smart monkey&#128514;,1
ever meet bitch fuck nigga pussi admit bitch bitch,&#8220;@Whoscherry: Ever met a bitch that fucked with your nigga but was to pussy to admit it ?&#8221; A bitch for a bitch.,1
ill find cute hoosier date next year,&#8220;@WillyC14_: &#8220;@urbie_6: #SingleBecause ill find a cute hoosier to date next year &#128527;&#8221; @Tgold32&#8221; @connorbradley,2
I make interview bitch huh lol,&#8220;@Woo_Chamberlain: I just made that interview my bitch. &#128526;&#8221;--finessed it huh!? Lol,1
love hoe,&#8220;@WorldStarFunny: we don't love these hoes http://t.co/WeKdL09bq5&#8221; @Ilovebamf &#128076;,1
fuck bad bitch rather good girl freak I time,"&#8220;@WowItsDylan: Fuck a ""bad bitch"" id rather have a good girl who's a freak just for me 10/10 times &#128525;&#128525;&#8221;",1
singl af care ugli anyway I pussi,&#8220;@Xenoss_: ''single af'' we don't care you're ugly anyways&#8221; @ me pussy,1
I love hoe,&#8220;@Xenoss_: I don't love these hoes&#8221; *we,1
tri smash pussi stank,&#8220;@YaBoyRoshi: When you try to smash but that pussy stank http://t.co/alfwPUmnls&#8221;,1
red sox scoreless play nd inning bambino watch,"&#8220;@Yankees: #Yankees and Red Sox are scoreless as we play in the 2nd inning.&#8221;
THE BAMBINO IS WATCHING!",2
alfredo acev reliev th need go away ga,"&#8220;@Yankees: Alfredo Aceves in to relieve @CC_Sabathia here in the 4th. #Yankees&#8221; he needs to go away , gas can !",2
cav trash heat trash smh get ta make trade,&#8220;@Yattabing Cavs trash.. Heat trash.. Smh&#8221;pat gotta make trades,2
I bitch like lol sorri sorri tri give hint I want speak idc,"&#8220;@YeridZee: I'm not a bitch like @Vikyfdez15 &#128129; lol&#8221; sorry not sorry, tried to give him a hint that I didn't want to speak to him so idc &#128524;",1
shut faggot,"&#8220;@YoureGayIf: .@1227jarred Shut up, faggot.&#8221;&#128514;Set himself up",1
oreo ice cream cake,&#8220;@Yummy: Oreo ice cream cake &#128588; http://t.co/dvabPmgQjo&#8221; &#128525;,2
I get natur mean face I havin mean mug ion even knowin bitch shut fuck,"&#8220;@YungEthiopian: "" I got a natural mean face"" ""i be havin mean mugs and ion even be knowin"" bitch shut the fuck up&#8221;right",1
I want birthday femal larg buttock big booti hoe,&#8220;@ZeeCobb: All I want for my birthday is a female with a large buttocks.&#8221; Big booty hoe,1
sister shitin ho onc wodeh bout dat action,"&#8220;@ZvckSlvt3r704: My sister shittin on you hos once again ""@VSamone: wodeh bout dat action http://t.co/nzHXA8GuA5""&#8221;&#128536;&#128536;&#128536;",1
lmao I find thi shit funni hoe content work one nigga bore,&#8220;@_1KANE: LMAOOO I find this shit so funny y'all hoes ain't content with working it out with one nigga http://t.co/dBtcv0fBN1&#8221;that's boring,1
u look like cotton picker tho put field work damn de get joke,"&#8220;@_4ever_slim: U look like a cotton picker tho 

RT @KB_Three: About to put in field work &#127944;&#8221; damn dee got all the jokes",1
wasup outa order,&#8220;@_BeautifulKeezy: &#8220;@100046729: @_BeautifulKeezy wassup&#8221;bye&#8221;bitch you outta order,1
thi bitch lie I yess,&#8220;@_BeautifulKeezy: &#8220;@100046729: This bitch lying to me &#128514;&#128530;&#8221;&#128064;&#128064;&#128064;&#8221;messy yess,1
alysa ignor I bitch well text I back caus I seriou u smokey,&#8220;@_BeautifulKeezy: Alyssa you ignoring me bitch but you better text me back cause I'm serious !&#8221;fuck u smokey,1
I put much nut fuck mouth gt frfr bitch yu nasti,&#8220;@_BeautifulKeezy: I'm about too put sooooo much nut in my fucking mouth and gts frfr &#128514;&#128514;&#128514;&#128128;&#8221; bitch yu nasty,1
I win bitch,&#8220;@_BeautifulKeezy: im so winning. &#128525;&#128525;&#128525; http://t.co/Jf6U54CMW3&#8221;&#128514;&#128514;&#128514; bitch,1
boy tell lyssa make ye bitch I need em,&#8220;@_BeautifulKeezy: the boy told Lyssa make them $50 &#128514;&#128514;&#128514;&#128128;&#8221;&#128514;&#128514;&#128514;&#128128; yes bitch and I need em,1
hoe play w I like I send babi cain nigah messi,&#8220;@_BeautifulKeezy: these hoes be playing w/ me like I won't send baby Cain at they niggah !!&#8221;yesss messy.,1
shoot nigga hi shorti bitch,&#8220;@_BitchBUH: Shoot that nigga and his shorty bitch &#128299;&#128514;&#8221; &#8252;&#65039;&#8252;&#65039;,0
iz point jealou cuz de hoe everybodi,&#8220;@_BucketsMcnasty: Iz no point in being jealous cuz dee hoes for everybody #&#128175;&#128175;&#128175; #BucketsProverbs&#8221; http://t.co/HuH4hBKYwY,1
omf hoe hopper,&#8220;@_BunnyCocaine_: Oomf a hoe hopper &#128514;&#128514;&#128514;&#8221; &#127806;&#128064;&#127806;,1
thing love weed pussi life,&#8220;@_CiaraaaS: What things do you love? &#8212; Myself http://t.co/D23mKPgMxu&#8221;food weed pussy life &#128129;,1
omf fake bitch ass nigga point blank period smh aw shit,&#8220;@_CocaKoula: Oomf a fake bitch ass nigga point blank period. Smh&#8221; AWWWW SHITTTTTTT,1
I lose thi sweet lose hide lmfao viri tryna smoke hoe hi self boy,&#8220;@_DEROOO: &#8220;@ViriDoesItt: How I lose this sweet..&#8221;you ain't lose it you hide it lmfao Viri tryna smoke that hoe to his self&#8221; &#128514;&#128514;&#128514; Boy...,1
kyri fast bitch ball look like lol I wish,&#8220;@_DMiLL_: &#8220;@1BlackMigo: Kyrie fast than a bitch with the ball&#8221; look like you out there lol&#8221;lol I wish,1
hahaha much thoti never fear captain save thot save hoe,"&#8220;@_Dominiquecs: @Thompson_Era hahaha! She to much of a thottie for you!&#8221;

Never fear Captain Save-A-Thot is here to save that hoe &#128526;",1
happi birthday littl bitch bofl thi make I laugh I read,&#8220;@_Georjay: @ZoeBoi03 happy birthday little bitch.&#8221; BOFL this made me laugh when I read it &#128514;&#128514;,1
snap chat name pleas bitch snapchat I,&#8220;@_ImtrILLasFuk: Snap Chat Names please? &#128527;&#128171;&#128166;&#8221;only bitch you can Snapchatt is me,1
hoe loyal,&#8220;@_Jamal___: these hoes ain't loyal&#8221; no they ain't,1
bitch yeah I know probabl parti,"&#8220;@_Jiare: &#8220;@WB_Pooh_3x: Where the bitches at ,?? &#128064;&#8221; yeah where they at &#128064;&#8221; I don't know they probably at that Party &#128553;",1
I get giggl becaus I fag I gon lie lol,"&#8220;@_KingCorey_: I got the giggles because I'm a fag, I ain't gon' lie lol &#128514;&#128514;&#8221;",1
bitch need lock yo ass sayin stupid shit like,&#8220;@_KingRichyyyy: @NoFly_Zone8 @1017_Sqquad you a bitch&#8221;they need to lock yo ass up for sayin some stupid shit like that,1
one like n I r e c ass bitch,&#8220;@_Leyahhhh_: No one likes i n d i r e c t ass bitches.&#8221; &#128079;,1
laker go trash thi season I wait,&#8220;@_LoveCarolina_: My Lakers are going to be so trash this season I can't wait &#128588;&#128079;&#128530;&#8221; :(,2
boyfriend thatl eat yo pussi day long ur da real mvp,"&#8220;@_OneBadCreation: Boyfriends that'll eat yo pussy all day long 

Ur da real mvp &#128557;&#128079;&#8221; http://t.co/6dImZ71MPV",1
make salad veget bitch give I break potato salad,&#8220;@_OttoMattic: How you make a salad and have no vegetables on the bitch?!? Give me a break. &#128514;&#128557;&#128514;&#128557;&#8221; potato salad,1
I happi morn I shave pussi cute alway set I good day need dick,&#8220;@_Perarl: Im so happy in the morning after I shave my pussy cuteness always sets me up for a good day&#128522;&#8221;u need some dick,1
I laugh ex tryna stunt bitch forgot I go I know get amp get,"&#8220;@_PlayaChris: I be laughing when my ex be tryna stunt, bitch you forgot I went with you I know what you got &amp; don't got &#128514;&#128514;&#8221;",1
wish tonight purg I get hunt shut yo hoe ass,&#8220;@_SickWitIT: Wish tonight was purge so I can get to hunting&#8221; Shut yo hoe ass up,1
I tell I tri turn bayou classic bitch get,&#8220;@_TheCrownedHead: what if I tell y'all I'm trying to turn up for bayou classic #drinker &#128520;&#8221; bitch you got the id.,1
lol I get rise dat nica tho never forget ye I tripin,&#8220;@_WithFinesse: &#8220;@Shane_A1: Lol I 4got rose been dat nicca tho&#8221; #1 Never forget.&#8221;lol yee I was trippin,1
look nip ring I wait I chang mine lmao,&#8220;@__Bino: Looking at nip rings I can't wait until I can change mine &#128527;&#8221; &#128221;&#128064;&#128209; lmao,2
happi new year check yo clock hun get anoth hour lol lil count thing,&#8220;@__Black_Jesus: &#8220;@lil_aerii: Happy new year &#127882;&#127881;&#127881;&#127881;&#127881;&#127881;&#127881;&#127882;&#127882;&#8221; check yo clock Hun we got another hour lol..&#8221;they just did the lil count down thing,2
bitch get ta work hard clean shit without rip skin lmaosjdusubej,&#8220;@__IamAnnaY: bitch gotta work all hard to clean that shit without ripping her skin&#8221; LMAOSJDUSUBEJS,1
friend insensit bitch,&#8220;@__Idonthaveone: My friends are some insensitive bitches &#128514;&#8221;,1
I tryna get snow day dick make nica wreck tryn pull ya,&#8220;@__LilBoodyJudy: I'm tryna get some snow day dick &#128514;&#128514;&#128514;&#128514;&#8221;gon make a nicca have a wreck out there Tryn pull up on ya &#128514;&#128514;,1
like whi tf thi bitch follow I,&#8220;@__Neecol: Like why tf is this bitch following me ?&#8221;&#128064;,1
cuz hoe lol cuz go lil rant I man,&#8220;@___Tamm: @VoiceOfDStreetz cuz you a hoe lol&#8221; cuz you went on your lil rant on me man!,1
I hoe az boi I sniff sniff sorri sniff sniff,&#8220;@___Tamm: @VoiceOfDStreetz that wasn't me hoe azz boi&#8221; I'm (sniff sniff ) sorry (sniff sniff) http://t.co/CTmwGWEKNL,1
u mr bitch stop call I I ball,&#8220;@__austinnn: @Satisfied_x &#128175; what u did Mr bitches&#8221; &#128514; stop calling me that but I balled,1
ion eat cat gay,&#8220;@__iamjazz: ion eat cat . &#128581;&#8221;bitch what you gay for then,1
iont got type bad bitch onli thing I like aye throw ass sphere,&#8220;@__kiante: &#8220;@1017_Sqquad: Iont got not type ... Bad bitches is the only thing that I like&#8221; ayeee!!&#8221; Throw that ass in a sphere &#128064;&#128514;,1
nigga hoe man I swear,&#8220;@__marshe: Niggas is hoes man I swear&#8221;,1
thi hoe mimi say I hurt hand bitch throat,"&#8220;@__nijel: This hoe Mimi said ""I hurt my hand"" &#128529;&#8221;&#128514;&#128514;&#128514; bitch her throat &#128514;&#128514;",1
di hoe bri fuck wet dream pop dream like,&#8220;@__thaRealist: &#128530; dis hoe BRI will fuck up a wet dream&#8221; Pop up in the dream like http://t.co/aSiQg6EBPb,1
u hoe broski u get ta look dat shit,&#8220;@__thaRealist: @VoiceOfDStreetz u a hoe broski u gotta look at dat shit&#8221;&#128064;&#128064;,1
lil bitti bitch,&#8220;@__thaRealist: Lil bitty bitch&#8221; &#128079;&#128079;&#128079;&#128079;&#128079;lingo,1
shawti wan na charg pussi I like whoa turnt cash use fuck free,&#8220;@__thaRealist: Shawty wanna charge for pussy but I'm like whoa now&#128561;&#8221; turnt her on to cash she use to fuck for free,1
victor amp shawn leg hurt jig everi damn night,&#8220;@_ajoyaaa: Victor &amp; shawn legs don't hurt? They jigg every damn night &#128530;&#8221;&#128514;&#128514;&#128514;,1
lol someon tell I I hoe I send thi,&#8220;@_chanaee_: Lol someone told me I had hoes so I sent them this&#128514;&#128514;&#128514; http://t.co/B5xBkamv4X&#8221;,1
bitch I weak vic,&#8220;@_chelousmuch_: bitch im weakkk vic &#128514;&#128514;&#128514;&#8221;&#128514;&#128514;,1
fuck girl peep chang nigga squar bitch ass,"&#8220;@_chrisbrazell: Fuck The Girls , Peep How He Change When A Nigga Squared Up Against Him &#128514;&#128514;&#128514;&#128514;&#128514; https://t.co/FZx4ws7eeE&#8221; &#128514;&#128514;&#128514;&#128514; bitch ass",1
nobodi care kirk bosley care bout cousin hoe,&#8220;@_getMEAUXmoney: Nobody cares about KIRK Bosley no&#8221;I care bout my cousin hoe,1
man hop feel much quick woman I I hop ya bitch,&#8220;@_hellMEL: Men hop in they feelings much quicker than women.&#8221; Not me &#128520; I hop in ya bitch,1
bitch I bitch I grind thug luv,"&#8220;@_heyshelby: Bitch I'm on, bitch I'm on my griiind&#8221; thug luuuuuuv",1
phone charg backward retard,&#8220;@_honeysays: My phone charging backwards &#128533;&#8221; retarded,0
I want pussi,&#8220;@_imShawntee: I want some pussy #wishfulthinking&#8221;,1
fb hoe lol next time nice lmfao,&#8220;@_kbhicks: @TheKaosYatti fb hoe lol&#8221;damn next time be nicer . Lmfao,1
right idk one sell pussi way high,&#8220;@_mahoganylov3 Right RT @KingDominicus: Idk which one was selling pussy for $65 but that&#8217;s way too high for them http://t.co/jSDmSuCDm0&#8221;hm,1
ah know smart doni ye ya I glad speak mind face hoe,"&#8220;@_nicolehayley_: @Thompson_Era ahhh you know who? So smart Donny! &#128516; but YES RT &#128514;&#8221;

Yass! I'm glad you speak your mind to these 2faces hoes",1
give bitch bib sinc wan na act messi,&#8220;@_tellmeboutLOVE: Gave that bitch a bib since she wanna act messy&#8221;,1
I excit bosi get valentin day get vday pussi alstar weekend pussi mardi gra,&#8220;@_theGODMOTHER: im more excited about Boosie getting out than Valentines day&#8221;he get Vday pussy allstar weeekend pussy and mardi gras,1
I like popey spici chicken bitch boa tripen,&#8220;@_xCianna: I don't like Popeye's spicy chicken &#128545;&#8221; them bitches be on 10 boa you trippen,1
I wonder I omf I like I want fuck would I wrong one brave bitch day,&#8220;@_yeaimmaBOSS: &#8220;@100046729: I wonder if I @ oomf I be like I want fuck would I be wrong or &#128533;&#8221; you a be one brave as bitch&#128514;&#128514;&#8221;one day &#128553;&#128514;&#128514;,1
wonder meet dude bitch ass nigga day,&#8220;@_yesKala: It's so wonderful when you meet a dude that's not a bitch ass nigga these days &#128514;&#8221; &#128588;&#128553;,1
yeah lowkey love I know nigga love hoe,&#8220;@abigayvazquez: @_Nicole214_ @TonyJetsFoo yeah he lowkey loves me he knows he's ma nigga &#128076;&#8221;we don't love these hoes,1
I much nigga much hoe,&#8220;@aerinblazin: I'm 2 much for these niggas and 3 much for these hoes &#128129;&#8221;,1
jordyn stay make fun I eat like littl bitch,"&#8220;@alexvelazquez49: Jordyn stays making fun of how I eat like a little bitch""",1
go I actual surpris hard n crib listen nig g eazi diss homi,&#8220;@alicia_688: He did go in i was actually surprised he when that hard RT @Vice504fly: N the crib listen 2 my nig G-Eazy&#8221;don't diss my homie,1
ai nt special niglet I chill wit greg pl walk I ask I take pic,&#8220;@alicia_688: You aint special niglet RT @Vice504fly: When I'm chilling wit Greg ppl walk up to me to ask me to take pics&#8221;hatin,0
get ta buy anti slip shoe hoe catch I slip,&#8220;@almightyburr: gotta buy those anti-slip shoes so these hoes won't catch me slipping&#8221;,1
realli cool good basketbal zebra thi,&#8220;@anallanusa32: 83 you're really cool you're good at basketball. And your a zebra &#127936;&#128060;&#8221; is this @WillBall4Life?,2
grow bitch cute,&#8220;@annijohnesce: @100046729 grow up bitch &#128514;&#128514;&#128514;&#128514;&#8221; &#128514;&#128514;&#128514;&#128128; they was cute &#128514;&#128514;&#128514;&#128514;&#128514;&#128514;,1
scrappi alway reunion hela hoe nigga lmao,&#8220;@arrogantori: Scrappy always on the reunion with hella hoes &#128514;&#8221;real nigga lmao,1
girlfriend hoe text yano u r,&#8220;@avelindner: if he has a girlfriend don't be a hoe and text him yanno who u r &#128519;&#8221;,1
realli anyon talk thing start go wrong aight hoe ass nigga,&#8220;@ayyceethegreat: Don't really have anyone to talk to when things start going wrong...&#8221; Aight hoe ass nigga,1
sydney favorit nigger I love,&#8220;@badnradbrad: @whattheflocka @MorbidMermaid sydneys my favorite&#8221; she's a nigger but I love her,1
depress I get hoe,&#8220;@bbluedreamm: &#8220;@Pouyalilpou: depressed but I got hoes&#8221; same&#8221;,1
still fucn ya ex bitch corni,&#8220;@beautiful_bleus: 7. You still fucn ya ex?&#8221;na that bitch corny,1
go take thi summer bing fli bitch bless atl thank,&#8220;@beautifullapril: About to go take over the A this summer. Binging alll the fly bitches to bless atl! #turnup!&#8221; Thank you!! &#128513;&#128513;&#128175;,1
I never get twitter I I get bitch fight nigga even femal bruh,"&#8220;@bigg_boss23: I never get on twitter but when I do, I get in bitch fights with niggas. not even females bruh..&#8221; http://t.co/Kf6pxGKJXr",1
fuck top lip pussi,&#8220;@blyth33s: &#8220;@chaserojo: .. where the fuck is your top lip http://t.co/iZBPn0Pms9&#8221; in my pussy&#8221; @lilshwenda,1
mane skinni bitch playin lol I take weight class anoth level,&#8220;@bonnoxxx: @WebbMadeThis mane the skinny bitches was playin lol I had too take my weight class too another level&#8221; &#128557;&#128557;&#128557;&#128557;&#128557;&#128557;&#128557;&#128557;&#128557;&#128557;&#128557;&#128557;,1
lem I find nigaz let bitch shit yo face nigga weirdo,&#8220;@boojieque: &#128514;&#128169;RT @WebbMadeThis: Lemme find out you niggaz letting bitches shit on yo faces&#8221; &#128557; niggas is weirdos,0
cigarett gross half bitch smoke cigarett,"&#8220;@briceokc: ""cigarettes are so gross"" -half the bitches that smoke cigarettes &#128530;&#8221; @gfys__",1
I hate I attempt make yellow light car infront I stop light I want fight,&#8220;@butter_obama: I hate when I attempt to make the yellow light but the car infront of me stops at the light &#128545;&#128545;&#128545;&#8221;&#8252;&#65039; I be wanting to fight&#128514;,2
I like bitch,&#8220;@bwanaaa_16: I like down bitches&#8221;,1
nigga talk bitch day,&#8220;@candacevon: Niggas talk more then bitches these days &#128530;&#8221; #facts,1
bitch know lmao,&#8220;@cb_marie: @what_evaittakes &#128563;&#128553;&#128514;&#128514; now bitch you know.. Lmaooo&#8221;&#128514;&#128514;&#128514;,1
fuck text movement lmao court text rub I use bitch bout tho,&#8220;@cb_marie: Fuck them texts! &#128526; it's a movement. Lmaooo &#8220;@koleworld4: courts texting rubbed off on me &#128514;&#8221;&#8221;she used to be bitch bout it tho &#128553;,1
I need find damn job need find bitch job,&#8220;@cb_marie: I need to find is both a damn job. &#8220;@what_evaittakes: @cb_marie needs to find a bitch a job&#128553;&#128553;&#8221;&#8221;right,1
I nt fuck u lil stupid ass bitch I ai nt fuckin wit u lil dumbass bitch I ai nt fuckin wit,&#8220;@chloekosik: I DONT FUCK YOUUU u lil stupid ass bitch I AINT FUCKIN WIT YOU u lil dumbass bitch I AINT FUCKIN WIT YOU&#8221; @kaylamauser_,1
kid I right I smack hoe,&#8220;@chloeonvine: Are. You. Kidding. Me. Right. Now. http://t.co/lFSvymMqTN&#8221; I'll smack a hoe,1
I sarcast lil bitch love sleep eat,&#8220;@chloeonvine: im just a sarcastic lil bitch who loves to sleep and eat&#8221;,1
hoe loyal I would know caus I hoe fan damn sure real,&#8220;@chrisbrown: These hoes ain't loyal [i would know cause I'm a hoe] but my fans damn sure are!&#8221; - real,1
yeah realli far alright like live whole lot hick haha,&#8220;@cierravillela yeah it's really far and it's alright if you like living by a whole lot of hicks haha,1
I bitch ass elf,&#8220;@clzcdxx: im just a bitch ass elf&#8221; @MorbidMermaid,1
I nt trust girl ca nt trust hoe,&#8220;@cmencarini: I dont trust girls&#8221; cant trust these hoes,1
well know victoria secret yea cocoa puff bird fuck,"&#8220;@codizzlleee: @Satisfied_x @Stfu_NobodyCare well we all know Victoria's Secret now.&#8221;
Yea and we all the Cocoa Puff bird fucking",1
paint brush bugati bitch paint I like one french girl,&#8220;@codyaveresch: Paint brushes over Bugattis #StundentPainters bitch&#8221; paint me like one of your French girls,1
nigah friendzon dam,&#8220;@coffincreepxx: @WhatAreOllies niggah you friendzoned&#8221; daaaaaaaam.. &#128532;,1
jose fuck mean I like damn bitch lol fuck,&#8220;@coffincreepxx: Jose is so fucking mean to me like damn bitch lol&#8221; fuck you,1
bitch I back home,&#8220;@colormeprettyyy: @xo_tavia bitch im back at home now.&#8221; &#128514;,1
awesom,&#8220;@coltscommunity @Pacers @nflcolts @indystar #CHUCKSTRONG #GoldSwagger http://t.co/6q5wm3VU&#8221; thats awesome &#127936;+&#127944;=&#128077;&#128076;&#9757; #hoosiers,2
happi hour time good time da day nigga know bout happi hour hoe,&#8220;@comedianjayski: Happy Hour time best time of da day!!!!!&#8221; Niggas don't know bout them happy hour hoes,1
favorit time da day happi hour bad bitch come ok hoe home make,&#8220;@comedianjayski: My favorite time of da day HAPPY HOUR!!! #Drinkbreak&#8221;when the bad bitches come out and the ok hoes at home doing make-up,1
gwyneth paltrow ugli ass big bird look bitch shut fuck lt lt pretti much face bravo,"&#8220;@concretesledge_: Gwyneth Paltrow you ugly ass big bird looking bitch, shut the fuck up.&#8221; &lt;&lt;That's pretty much IN YOUR FACE!
Bravo!",1
whi u love becaus love hoe,&#8220;@connycarvajal_: Why u can't just love?&#8221; Because we don't love these hoes,1
play great job retard,"&#8220;@cooney_mane: @BrianMC630 ""they played a great job"" who's the retard now?&#8221;

&#128514;&#128514;&#128514;",1
bitch pop babi like sport lol,&#8220;@creoleblood: &#8220;@what_evaittakes: Y'all bitches be popping babies out like it's a sport&#128553;&#8221;stop &#128534;&#8221;what lol,1
finger bitch w trigger finger nigga shut,&#8220;@crystalinag: finger a bitch w/ my trigger finger&#8221; nigga shut up,1
dora amp tabl manner eat like sloppi hoe,&#8220;@d6_9b Dora &amp; her table manners &#128530;&#8221;--- she's eating like a sloppy hoe!!?,1
stop bitch,&#8220;@daaamian_69: &#8220;@tankGonzalez: Stop being such a bitch&#8221;&#8221;,1
demolish thi huge bitch care,&#8220;@daberellla: just demolishing this huge bitch &#127850; http://t.co/AWYdBJxKs4&#8221;sharing is caring &#128076;,1
think alex win game sorri son bitch never win game,"&#8220;@dablueprint: @NigelDixon1 Just think if Alex won some games!&#8221; That sorry son of a bitch will never ""win"" us a game",1
bitch late ion expos,&#8220;@daijahshardaee: &#128514;&#128514; @100046729 bitches so late &#128564;&#128129;&#8221; ion exposed &#128514;&#128564;,1
I feel sorri whoever use alysa number play phone game dumb ass hoe get life,&#8220;@daijahshardaee: I feel sorry for whoever using Alyssa number to play phone games &#128532;&#128080;&#8221; dumb ass hoes who ain't got a life,1
I bitch I bitch preach,"&#8220;@dappermuke: i'll be a bitch when i have to be a bitch :)

#fandomapology 
#5sosFamAnd1DfandomFollowParty&#8221; PREACH",1
bitch set hopin like bitch get life u get beat lmao,&#8220;@darkkskys: bitches be set hoppin like bitch get your life for u get beat up lmao&#8221;,1
pussi wet get ta dri outsid tell busi,&#8220;@dewayneee_: That pussy so wet she gotta dry outside&#8221;stop telling my business,1
homecom ho slut th,&#8220;@dirtyxluxury: @_Vontethekidd whens homecoming ho?&#8221;&#128553;&#128514; slut the 17th,1
asian short bed foot hang edg bed cuddl I bitch I right besid,"&#8220;@dlogue22: Asians have short beds, my feet are hanging off the edge of the bed &#128514;&#8221; cuddle me bitch I'm right beside you",1
u regular nig u play b lol I b ig famou day count somethin,"&#8220;@dnumberbefore2: &#8220;@Vice504fly: @dnumberbefore2 u a regular nig, u played out b&#8221; lol ima b Ig famous&#8221;these days that counts for somethin",0
congrat kim k thi great day hoe everywher,&#8220;@dnumberbefore2: Congrats to kim k .this a great day for hoes everywhere&#8221;,1
lol mayb I give nd date hoe date I know work lol,&#8220;@dnumberbefore2: Lol maybe I should give in nd date these hoes on dates&#8221;let me know how that work lol,1
I pull eat pussi dip,&#8220;@dolodwills: Imma pull up on you eat on that pussy and dip&#8221;,1
get pussi without lie girl wack hate appreci,&#8220;@dominiloka: If you can't get pussy without lying to a girl you wack&#8221; don't hate. appreciate.,1
daughter make I I hoe age u roll tonight,&#8220;@dominiloka: My daughter makes me with I wasn't a hoe from age 18-25&#8221; u on a roll tonight,1
pussi proli tast like heaven,&#8220;@dreadHEADkidd69: pussy prolly taste like heaven &#128523;&#8221; &#128079;,1
madam everi jawn tryna pussi cop feel dont peen,&#8220;@drphilDONTEhue: Now ma'am ... &#8220;@_PettyCrocker: Every jawn on here been tryna have they pussy cop a feel on Donte's peen&#8221;&#8221;&#128563;,1
know idgaf woman lingeri match I love hairi pussi much,&#8220;@drphilDONTEhue: You know idgaf about a woman's lingerie matching when I love hairy pussy so much &#128514;&#8221; &#128567;,1
whi let hoe tear right apart,&#8220;@eminoelle: Why you let these hoes tear what we had right apart&#8221;,1
I want bad bitch world right lap,&#8220;@erickruiz45: I just want the baddest bitch in the world right here on my lap&#8221; @7aidualc9 &#128514;&#128514;&#128514;&#128514;,1
pineappl sale publix sale stair,&#8220;@ericwooden21 &#8220;@DrTruth247: Pineapples on sale at publix&#8221;hoes on sale too&#8221;up stairs,1
